2022-05-27 10:24:06,445 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7bd7ad2a: startup date [Fri May 27 10:24:06 IST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2022-05-27 10:24:07,406 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\workspace\apache-activemq-5.16.0-bin\apache-activemq-5.16.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-05-27 10:24:09,163 | INFO  | PListStore:[C:\workspace\apache-activemq-5.16.0-bin\apache-activemq-5.16.0\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2022-05-27 10:24:09,327 | INFO  | Apache ActiveMQ 5.16.0 (localhost, ID:WINDOWS-BVQNF6J-53553-1653627249198-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-05-27 10:24:09,345 | INFO  | Listening for connections at: tcp://WINDOWS-BVQNF6J:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-05-27 10:24:09,346 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-05-27 10:24:09,350 | INFO  | Listening for connections at: amqp://WINDOWS-BVQNF6J:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-05-27 10:24:09,352 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-05-27 10:24:09,356 | INFO  | Listening for connections at: stomp://WINDOWS-BVQNF6J:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-05-27 10:24:09,357 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-05-27 10:24:09,360 | INFO  | Listening for connections at: mqtt://WINDOWS-BVQNF6J:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-05-27 10:24:09,361 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-05-27 10:24:09,367 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-05-27 10:24:09,438 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-05-27 10:24:09,630 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@31634a43{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2022-05-27 10:24:09,693 | INFO  | Listening for connections at ws://WINDOWS-BVQNF6J:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2022-05-27 10:24:09,694 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-05-27 10:24:09,696 | INFO  | Apache ActiveMQ 5.16.0 (localhost, ID:WINDOWS-BVQNF6J-53553-1653627249198-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-05-27 10:24:09,697 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-05-27 10:24:10,561 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-05-27 10:24:10,562 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-05-27 10:48:59,326 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1053596310-48
2022-05-27 10:49:56,782 | INFO  | Apache ActiveMQ 5.16.0 (localhost, ID:WINDOWS-BVQNF6J-53553-1653627249198-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2022-05-27 10:49:56,791 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-05-27 10:49:56,793 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-05-27 10:49:56,794 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-05-27 10:49:56,795 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-05-27 10:49:56,801 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-05-27 10:49:56,806 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-05-27 10:49:56,810 | INFO  | PListStore:[C:\workspace\apache-activemq-5.16.0-bin\apache-activemq-5.16.0\bin\win64\..\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
